Datetime, Input (V), Input (I), Output (V), Output (I), Input (P), Output (P), Efficency (%)
2017-01-28 13:39:38.869681, 4.953, 0.02675, 6.562, 0.0, 0.13249275, 0.0, 0.0
2017-01-28 13:40:23.442703, 4.939, 0.0365, 5.374, 0.010333333333333333, 0.1802735, 0.05553133333333333, 30.803935871513744
2017-01-28 13:40:50.837251, 4.923, 0.04741666666666667, 5.244, 0.020583333333333335, 0.23343225, 0.10793900000000001, 46.2399689845769
2017-01-28 13:41:02.840220, 4.908, 0.058583333333333334, 5.184, 0.030416666666666665, 0.28752700000000003, 0.15768, 54.84006719368963
2017-01-28 13:41:22.291766, 4.892, 0.06933333333333333, 5.138, 0.04016666666666667, 0.3391786666666667, 0.20637633333333336, 60.8459061890685
2017-01-28 13:41:32.615619, 4.876, 0.08066666666666666, 5.093, 0.05, 0.39333066666666666, 0.25465, 64.7419643523007
2017-01-28 13:41:46.791993, 4.86, 0.092, 5.052, 0.06, 0.44712, 0.30311999999999995, 67.79388083735908
2017-01-28 13:41:56.852485, 4.844, 0.10291666666666667, 5.013, 0.0695, 0.4985283333333334, 0.34840350000000003, 69.88639896762804
2017-01-28 13:42:07.592842, 4.828, 0.11425, 4.974, 0.0795, 0.5515990000000001, 0.39543300000000003, 71.68849109588668
2017-01-28 13:42:17.741628, 4.812, 0.12575, 4.936, 0.08941666666666667, 0.605109, 0.4413606666666667, 72.93903522616036
2017-01-28 13:42:30.922561, 4.797, 0.13658333333333333, 4.9, 0.09891666666666667, 0.65519025, 0.4846916666666667, 73.97724045293205
2017-01-28 13:42:41.125385, 4.78, 0.14800000000000002, 4.863, 0.10891666666666668, 0.7074400000000002, 0.52966175, 74.87020100644577
2017-01-28 13:42:51.102773, 4.764, 0.1595, 4.826, 0.11891666666666667, 0.759858, 0.5738918333333333, 75.5261948065735
2017-01-28 13:43:00.163112, 4.749, 0.17041666666666666, 4.791, 0.1285, 0.8093087499999999, 0.6156435, 76.07028837881712
2017-01-28 13:43:09.635349, 4.732, 0.18191666666666667, 4.754, 0.13849999999999998, 0.8608296666666667, 0.6584289999999998, 76.48772172892119
2017-01-28 13:43:18.482904, 4.716, 0.19333333333333336, 4.715, 0.1485, 0.9117600000000001, 0.7001774999999999, 76.79405764674912
2017-01-28 13:43:27.694001, 4.7, 0.20483333333333334, 4.68, 0.1585, 0.9627166666666668, 0.74178, 77.05070720011079
2017-01-28 13:43:48.612522, 4.667, 0.22733333333333333, 4.606, 0.17808333333333334, 1.0609646666666666, 0.8202518333333334, 77.31188974562146
2017-01-28 13:44:03.295260, 4.683, 0.216, 4.644, 0.1681666666666667, 1.011528, 0.7809660000000002, 77.20656274467935
2017-01-28 13:44:12.600014, 4.651, 0.23883333333333337, 4.568, 0.18808333333333335, 1.1108138333333335, 0.8591646666666667, 77.34551379221509
2017-01-28 13:44:22.682651, 4.635, 0.24983333333333335, 4.531, 0.19783333333333333, 1.1579775, 0.8963828333333332, 77.40934805152372
